"id","scheme","scheme_type","value","year","estimate_type"
290,"Employees Pension Scheme, 1995","Major Central Sector Schemes",9167.0,"2023-2024","Budget"
291,"e-Courts Phase III","Major Central Sector Schemes",0.0,"2023-2024","Budget"
292,"Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers","Major Central Sector Schemes",14100.0,"2023-2024","Budget"
293,"Fund of Funds","Major Central Sector Schemes",575.0,"2023-2024","Budget"
294,"Raising and Accelerating MSME Performance - RAMP","Major Central Sector Schemes",1170.0,"2023-2024","Budget"
295,"Khadi Gramodyog Vikas Yojana","Major Central Sector Schemes",917.0,"2023-2024","Budget"
296,"Prime Minister Employment Generation Programme (PMEGP)","Major Central Sector Schemes",2700.0,"2023-2024","Budget"
297,"PM Vishwakarma","Major Central Sector Schemes","","2023-2024","Budget"
298,"Education Empowerment","Major Central Sector Schemes",1689.0,"2023-2024","Budget"
299,"Kisan Urja Suraksha evam Utthaan Mahabhiyan(KUSUM)","Major Central Sector Schemes",1996.0,"2023-2024","Budget"
300,"Solar Power (Grid)","Major Central Sector Schemes",4970.0,"2023-2024","Budget"
301,"Wind Power (Grid)","Major Central Sector Schemes",1214.0,"2023-2024","Budget"
302,"National Green Hydrogen Mission","Major Central Sector Schemes",297.0,"2023-2024","Budget"
303,"Green Energy Corridors","Major Central Sector Schemes",500.0,"2023-2024","Budget"
304,"Capital Support to Oil Marketing Companies","Major Central Sector Schemes",30000.0,"2023-2024","Budget"
305,"Indradhanush Gas Grid Limited(IGGL)-part of the North East Natural Gas Pipeline Grid","Major Central Sector Schemes",1800.0,"2023-2024","Budget"
306,"Direct Benefit Transfer - LPG","Major Central Sector Schemes",180.0,"2023-2024","Budget"
307,"LPG Connection to Poor Households","Major Central Sector Schemes",0.0,"2023-2024","Budget"
308,"Other subsidy payable including for North Eastern Region","Major Central Sector Schemes",1633.0,"2023-2024","Budget"
309,"Sagarmala","Major Central Sector Schemes",450.0,"2023-2024","Budget"
310,"Reform Linked Distribution Scheme","Major Central Sector Schemes",12072.0,"2023-2024","Budget"
311,"Strengthening of Power Systems","Major Central Sector Schemes",2903.0,"2023-2024","Budget"
312,"Power System Development Fund","Major Central Sector Schemes",1000.0,"2023-2024","Budget"
313,"New Lines","Major Central Sector Schemes",31850.0,"2023-2024","Budget"
314,"Gauge Conversion","Major Central Sector Schemes",4600.0,"2023-2024","Budget"
315,"Doubling","Major Central Sector Schemes",30749.0,"2023-2024","Budget"
316,"Traffic Facilities - Yard Remodelling and Others","Major Central Sector Schemes",6715.0,"2023-2024","Budget"
317,"Computerisation","Major Central Sector Schemes",425.0,"2023-2024","Budget"
318,"Rolling Stock","Major Central Sector Schemes",37581.0,"2023-2024","Budget"
319,"Leased assets - Payment of Capital Component","Major Central Sector Schemes",22229.0,"2023-2024","Budget"
320,"Road Safety Works - Level Crossings","Major Central Sector Schemes",700.0,"2023-2024","Budget"
321,"Road Safety Works - Road Over/Under Bridges","Major Central Sector Schemes",7400.0,"2023-2024","Budget"
322,"Track Renewals","Major Central Sector Schemes",17297.0,"2023-2024","Budget"
323,"Bridge Works, Turnnel Works and Approaches","Major Central Sector Schemes",1255.0,"2023-2024","Budget"
324,"Signalling and Telecom","Major Central Sector Schemes",4198.0,"2023-2024","Budget"
325,"Electrification Projects","Major Central Sector Schemes",8070.0,"2023-2024","Budget"
326,"Other Electrical Works","Major Central Sector Schemes",1650.0,"2023-2024","Budget"
327,"Machinery and Plant","Major Central Sector Schemes",740.0,"2023-2024","Budget"
328,"Workshop Including Production Units","Major Central Sector Schemes",4601.0,"2023-2024","Budget"
329,"Staff Welfare","Major Central Sector Schemes",629.0,"2023-2024","Budget"
330,"Customer Amenities","Major Central Sector Schemes",13355.0,"2023-2024","Budget"
331,"Investment in PSU/JV/SPV etc.","Major Central Sector Schemes",34354.0,"2023-2024","Budget"
332,"Other Specified Works (Railways)","Major Central Sector Schemes",1300.0,"2023-2024","Budget"
333,"Metropolitan Transportation Projects","Major Central Sector Schemes",2450.0,"2023-2024","Budget"
334,"Road Works","Major Central Sector Schemes",107713.0,"2023-2024","Budget"
335,"National Highways Authority of India","Major Central Sector Schemes",162207.0,"2023-2024","Budget"
336,"National Mission on Interdisciplinary Cyber Physical Systems","Major Central Sector Schemes",580.0,"2023-2024","Budget"
337,"Science and Technology Institutional and Human Capacity Building","Major Central Sector Schemes",1068.0,"2023-2024","Budget"
338,"Innovation, Technology Development and Deployment","Major Central Sector Schemes",537.0,"2023-2024","Budget"
339,"Biotechnology Research and Development","Major Central Sector Schemes",1345.0,"2023-2024","Budget"
340,"Mahatma Gandhi National Rural Employment Guarantee Program","Core of the Core Schemes",86000.0,"2023-2024","Revised"
341,"National Social Assistance Program","Core of the Core Schemes",9652.0,"2023-2024","Revised"
342,"Umbrella Programme for Development of Minorities","Core of the Core Schemes",555.0,"2023-2024","Revised"
343,"Umbrella Programme for Development of Other Vulnerable Groups","Core of the Core Schemes",1918.0,"2023-2024","Revised"
344,"Umbrella Programme for Development of Scheduled Tribes","Core of the Core Schemes",3286.0,"2023-2024","Revised"
345,"Umbrella Scheme for Development of Scheduled Castes","Core of the Core Schemes",6780.0,"2023-2024","Revised"
346,"Pradhan Mantri Awas Yojna (PMAY)","Core Schemes",54103.0,"2023-2024","Revised"
347,"Jal Jeevan Mission (JJM)/National Rural Drinking Water Mission","Core Schemes",70000.0,"2023-2024","Revised"
348,"National Health Mission","Core Schemes",33886.0,"2023-2024","Revised"
349,"Samagra Shiksha","Core Schemes",33500.0,"2023-2024","Revised"
350,"Saksham Anganwadi and POSHAN 2.0 (Umbrella ICDS - Anganwadi Services, Poshan Abhiyan, Scheme for Adolescent Girls)","Core Schemes",21523.0,"2023-2024","Revised"
351,"Pradhan Mantri Gram Sadak Yojna","Core Schemes",17000.0,"2023-2024","Revised"
352,"National Livelihood Mission - Ajeevika","Core Schemes",14652.0,"2023-2024","Revised"
353,"Pradhan Mantri Poshan Shakti Nirman (PM POSHAN)","Core Schemes",10000.0,"2023-2024","Revised"
354,"Pradhan Mantri Krishi Sinchai Yojna","Core Schemes",8781.0,"2023-2024","Revised"
355,"Urban Rejuvenation Mission: AMRUT and Smart Cities Mission","Core Schemes",13200.0,"2023-2024","Revised"
356,"Rashtriya Krishi Vikas Yojna","Core Schemes",6150.0,"2023-2024","Revised"
357,"Ayushman Bharat - Pradhan Mantri Jan Arogya Yojna (PMJAY)","Core Schemes",6881.0,"2023-2024","Revised"
358,"Krishionnati Yojana","Core Schemes",6378.0,"2023-2024","Revised"
359,"Swachh Bharat Mission (Gramin)","Core Schemes",7000.0,"2023-2024","Revised"
360,"Assistance to States Agencies for Intra-State Movement of Foodgrains and FPS Dealers Margin under NFSA","Core Schemes",8532.0,"2023-2024","Revised"
361,"PM Schools for Rising India (PM SHRI)","Core Schemes",2800.0,"2023-2024","Revised"
362,"Swachh Bharat Mission","Core Schemes",2550.0,"2023-2024","Revised"
363,"Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM)","Core Schemes",2100.0,"2023-2024","Revised"
364,"Modernisation of Police Forces","Core Schemes",2837.0,"2023-2024","Revised"
365,"Interlinking of Rivers","Core Schemes",1400.0,"2023-2024","Revised"
366,"Mission Shakti (Mission for Protection and Empowerment for Women)","Core Schemes",2326.0,"2023-2024","Revised"
367,"Blue Revolution","Core Schemes",1500.0,"2023-2024","Revised"
368,"Pradhan Mantri Uchchatar Shiksha Abhiyan (PM-USHA)","Core Schemes","","2023-2024","Revised"
369,"Mission VATSALYA (Child Protection Services and Child Welfare Services)","Core Schemes",1272.0,"2023-2024","Revised"
370,"Strengthening Teaching-Learning and Results for States (STARS)","Core Schemes",700.0,"2023-2024","Revised"
371,"Rashtriya Gram Swaraj Abhiyan (RGSA)","Core Schemes",887.0,"2023-2024","Revised"
372,"Vibrant Villages Programme","Core Schemes",300.0,"2023-2024","Revised"
373,"Infrastructure Facilities for Judiciary","Core Schemes",1061.0,"2023-2024","Revised"
374,"Prime Minister Formalisation of Micro Food Processing Enterprises Scheme (PM FME)","Core Schemes",800.0,"2023-2024","Revised"
375,"Environment, Forestry and Wildlife","Core Schemes",535.0,"2023-2024","Revised"
376,"National River Conservation Plan - Other Basins","Core Schemes",432.0,"2023-2024","Revised"
377,"Crop Insurance Scheme","Major Central Sector Schemes",15000.0,"2023-2024","Revised"
378,"Pradhan Mantri Kisan Samman Nidhi (PM-Kisan)","Major Central Sector Schemes",60000.0,"2023-2024","Revised"
379,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)","Major Central Sector Schemes",450.0,"2023-2024","Revised"
380,"Modified Interest Subvention Scheme (MISS)","Major Central Sector Schemes",18500.0,"2023-2024","Revised"
381,"Pradhan Mantri Annadata Aay Sanrakshan Yojna (PM-AASHA)","Major Central Sector Schemes",2200.0,"2023-2024","Revised"
382,"Agriculture Infrastructure Fund (AIF)","Major Central Sector Schemes",600.0,"2023-2024","Revised"
383,"Crop Science for Food and Nutritional Security","Major Central Sector Schemes","","2023-2024","Revised"
384,"Research and Development Projects","Major Central Sector Schemes",1178.0,"2023-2024","Revised"
385,"Nuclear Power Projects","Major Central Sector Schemes",1791.0,"2023-2024","Revised"
386,"Feedstock","Major Central Sector Schemes",1030.0,"2023-2024","Revised"
387,"R&D projects of Bhabha Atomic Research Centre (BARC)","Major Central Sector Schemes",1007.0,"2023-2024","Revised"
388,"Fuel Recycle Projects (NRB)","Major Central Sector Schemes",862.0,"2023-2024","Revised"
389,"Nuclear Fuel Fabrication Projects","Major Central Sector Schemes",850.0,"2023-2024","Revised"
390,"Urea Subsidy","Major Central Sector Schemes",128594.0,"2023-2024","Revised"
391,"Nutrient Based Subsidy","Major Central Sector Schemes",60300.0,"2023-2024","Revised"
392,"Development of Industry (Pharmaceutical)","Major Central Sector Schemes",265.0,"2023-2024","Revised"
393,"Production Linked Incentive Scheme (Pharmaceutical)","Major Central Sector Schemes",1696.0,"2023-2024","Revised"
394,"Regional Connectivity Scheme","Major Central Sector Schemes",850.0,"2023-2024","Revised"
395,"Interest Equalisation Scheme","Major Central Sector Schemes",3700.0,"2023-2024","Revised"
396,"Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017","Major Central Sector Schemes",351.0,"2023-2024","Revised"
397,"Fund of Funds","Major Central Sector Schemes",1470.0,"2023-2024","Revised"
398,"Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States","Major Central Sector Schemes",1755.0,"2023-2024","Revised"
399,"Compensation to Service Providers for creation and augmentation of telecom infrastructure","Major Central Sector Schemes",2000.0,"2023-2024","Revised"
400,"Domestic Industry Incentivisation Scheme","Major Central Sector Schemes",515.0,"2023-2024","Revised"
401,"Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY)","Major Central Sector Schemes","","2023-2024","Revised"
402,"Works under Border Roads Development Board","Major Central Sector Schemes",6500.0,"2023-2024","Revised"
403,"Other works","Major Central Sector Schemes",1200.0,"2023-2024","Revised"
404,"Projects of the Air Force","Major Central Sector Schemes",389.0,"2023-2024","Revised"
405,"Investment in Public Enterprises","Major Central Sector Schemes",1310.0,"2023-2024","Revised"
406,"Research and Development","Major Central Sector Schemes",12943.0,"2023-2024","Revised"
407,"Land","Major Central Sector Schemes","","2023-2024","Revised"
408,"Aircraft and Aero Engines","Major Central Sector Schemes","","2023-2024","Revised"
409,"Heavy and Medium Vehicles","Major Central Sector Schemes","","2023-2024","Revised"
410,"Other Equipments","Major Central Sector Schemes","","2023-2024","Revised"
411,"Joint Staff","Major Central Sector Schemes","","2023-2024","Revised"
412,"Construction Works","Major Central Sector Schemes","","2023-2024","Revised"
413,"Naval Fleet","Major Central Sector Schemes","","2023-2024","Revised"
414,"Naval Dockyard/ Projects","Major Central Sector Schemes","","2023-2024","Revised"
415,"Special Projects","Major Central Sector Schemes","","2023-2024","Revised"
416,"Schemes of North East Council","Major Central Sector Schemes",800.0,"2023-2024","Revised"
417,"Prime Minister's Development Initiative for North East Region (PM-DevINE)","Major Central Sector Schemes",2200.0,"2023-2024","Revised"
418,"North East Special Infrastructure Development Scheme (NESIDS)","Major Central Sector Schemes",2490.0,"2023-2024","Revised"
419,"Deep Ocean Mission (DOM)","Major Central Sector Schemes",450.0,"2023-2024","Revised"
420,"PM Uchchatar Shiksha Protsahan (PM-USP) Yojna","Major Central Sector Schemes",1054.0,"2023-2024","Revised"
421,"National Apprenticeship Training Scheme (NATS)","Major Central Sector Schemes",460.0,"2023-2024","Revised"
422,"World Class Institutions","Major Central Sector Schemes",1300.0,"2023-2024","Revised"
423,"Capacity Building and Skill Development Scheme","Major Central Sector Schemes",454.0,"2023-2024","Revised"
424,"Modified Programme for Development of Semiconductors and Display Manufacturing Ecosystem in India","Major Central Sector Schemes",1503.0,"2023-2024","Revised"
425,"Production Linked Incentive Scheme (PLI), (MEITY)","Major Central Sector Schemes",4560.0,"2023-2024","Revised"
426,"Cyber Security Projects","Major Central Sector Schemes",400.0,"2023-2024","Revised"
427,"Electronic Governance","Major Central Sector Schemes",588.0,"2023-2024","Revised"
428,"Promotion of Electronics and IT HW Manufacturing (MSIPS, EDF and Manufacturing Clusters)","Major Central Sector Schemes",700.0,"2023-2024","Revised"
429,"R and D in IT/Electronics/CCBT","Major Central Sector Schemes",1000.0,"2023-2024","Revised"
430,"Control of Pollution","Major Central Sector Schemes",848.0,"2023-2024","Revised"
431,"Scheme for Bhutan","Major Central Sector Schemes",2399.0,"2023-2024","Revised"
432,"Scheme for Nepal","Major Central Sector Schemes",650.0,"2023-2024","Revised"
433,"Maldives","Major Central Sector Schemes",771.0,"2023-2024","Revised"
434,"Support to International Training/Programmes","Major Central Sector Schemes",1105.0,"2023-2024","Revised"
435,"National Investment and Infrastructure Fund (NIIF)","Major Central Sector Schemes",2600.0,"2023-2024","Revised"
436,"Lines of Credit under Indian Development and Economic Assistance Scheme (IDEAS)","Major Central Sector Schemes",2350.0,"2023-2024","Revised"
437,"Government Co-contribution to Atal Pension Yojana","Major Central Sector Schemes",521.0,"2023-2024","Revised"
438,"Incentive scheme for promotion of RuPay Debit Cards and low-value BHIM-UPI transactions (person-to- merchant)","Major Central Sector Schemes",2485.0,"2023-2024","Revised"
439,"Remission of Duties and Taxes on Exported Products (RODTEP)","Major Central Sector Schemes",15669.0,"2023-2024","Revised"
440,"Rebate on State and Central Taxes and Levies (ROSCTL)","Major Central Sector Schemes",8405.0,"2023-2024","Revised"
441,"Livestock Health and Disease Control Programme","Major Central Sector Schemes",1500.0,"2023-2024","Revised"
